city_name,h3_id,hex_geom,buildings_in_hex,buildings_with_access,access_pct
Paris,8a1fb4645517fff,"POLYGON((2.39661692593501 48.8400163664581, 2.39571534465449 48.8398529566986, 2.39552547759991 48.8392095022623, 2.39623717865795 48.8387294637009, 2.39713873990108 48.8388928752374, 2.39732862012325 48.8395363235582, 2.39661692593501 48.8400163664581))",8,8,100
Paris,8a1fb466150ffff,"POLYGON((2.39234801342529 48.8776081474347, 2.39144584348186 48.8774449107111, 2.39125589557686 48.8768016354795, 2.39196810442852 48.8763216030821, 2.39287025430963 48.8764848415793, 2.39306021540111 48.8771281107002, 2.39234801342529 48.8776081474347))",14,14,100
Paris,8a1fb46709a7fff,"POLYGON((2.30878309909405 48.8490470282225, 2.30788083693754 48.8488829125258, 2.30769171347123 48.8482390822899, 2.30840483893915 48.847759373854, 2.30930708105357 48.8479234913016, 2.30949621774189 48.8485673154342, 2.30878309909405 48.8490470282225))",16,16,100
Paris,8a1fb4670997fff,"POLYGON((2.30821571438332 48.8471155401683, 2.3073134775816 48.8469514088153, 2.30712436515806 48.8463075655768, 2.3078374763145 48.8458278597947, 2.30873969307543 48.8459919928986, 2.30892881872046 48.8466358300337, 2.30821571438332 48.8471155401683))",4,4,100
Paris,8a1fb4664597fff,"POLYGON((2.33909518648778 48.8911064367591, 2.33819248317919 48.8909428167625, 2.33800296103342 48.8902993565097, 2.33871612897292 48.8898195223559, 2.339618812211 48.8899831441098, 2.33980834757978 48.8906265982603, 2.33909518648778 48.8911064367591))",27,27,100
Paris,8a1fb467008ffff,"POLYGON((2.31725178515043 48.8371801919211, 2.31634975283884 48.8370160830044, 2.31616059206369 48.8363722305013, 2.3168734503879 48.8358924930207, 2.31777546266514 48.8360566036915, 2.31796463665223 48.8367004500888, 2.31725178515043 48.8371801919211))",2,2,100
Paris,8a1fb462970ffff,"POLYGON((2.27100991355148 48.8513135971376, 2.27010738368693 48.8511491686577, 2.26991858557314 48.8505051686502, 2.27063230407892 48.8500256032208, 2.27153481390051 48.8501900334405, 2.27172362525897 48.8508340273498, 2.27100991355148 48.8513135971376))",9,9,100
Paris,8a1fb4672a5ffff,"POLYGON((2.31816751142538 48.8257672629959, 2.31726565527258 48.82560309834, 2.31707652219493 48.8249591896456, 2.31778923206338 48.8244794517142, 2.31869106818939 48.824643618125, 2.31888021447346 48.8252875207123, 2.31816751142538 48.8257672629959))",6,6,100
Paris,8a1fb466616ffff,"POLYGON((2.34328357014114 48.8821199508441, 2.34238102737606 48.8819563167825, 2.34219149662781 48.8813128288278, 2.3429044954277 48.8808329810387, 2.34380701812818 48.8809966168594, 2.3439965620931 48.8816400987101, 2.34328357014114 48.8821199508441))",8,8,100
Paris,8a1fb4644a87fff,"POLYGON((2.38375646607769 48.8456028209613, 2.38285472119752 48.8454393316667, 2.38266494950452 48.8447958447618, 2.38337690951396 48.8443158532647, 2.38427863435321 48.8444793443323, 2.38446841922363 48.845122825124, 2.38375646607769 48.8456028209613))",16,16,100
Paris,8a1fb47592dffff,"POLYGON((2.33638706709158 48.8906155507027, 2.33548435431346 48.8904519046392, 2.33529485753901 48.8898084287179, 2.33600806031805 48.889328604962, 2.33691075302601 48.8894922527821, 2.33710026302483 48.8901357226014, 2.33638706709158 48.8906155507027))",12,12,100
Paris,8a1fb4675297fff,"POLYGON((2.33746442602966 48.8536504865076, 2.33656227298397 48.8534866435126, 2.33637288282407 48.8528429759782, 2.33708563250204 48.852363157545, 2.33798776550214 48.852527002299, 2.33817716886958 48.8531706637271, 2.33746442602966 48.8536504865076))",11,11,100
Paris,8a1fb467410ffff,"POLYGON((2.29760288761057 48.8604208851889, 2.29670038612525 48.8602567365978, 2.29651132540488 48.859612913027, 2.29722475293613 48.8591332441479, 2.29812723437198 48.859297394486, 2.29831630832576 48.8599412119562, 2.29760288761057 48.8604208851889))",10,10,100
Paris,8a1fb4663d67fff,"POLYGON((2.37924374759983 48.8679284549148, 2.37834164083292 48.8677650513414, 2.37815183855314 48.8671216613224, 2.3788641298502 48.8666416809868, 2.37976621656141 48.8668050863305, 2.37995603203097 48.8674484702394, 2.37924374759983 48.8679284549148))",15,15,100
Paris,8a1fb475969ffff,"POLYGON((2.32441793849119 48.8847899590853, 2.32351523862639 48.8846261774135, 2.32332586547801 48.8839826127684, 2.32403917896544 48.8835028358962, 2.32494185876414 48.8836666193214, 2.3251312451412 48.8843101778654, 2.32441793849119 48.8847899590853))",37,37,100
Paris,8a1fb4662aa7fff,"POLYGON((2.3646199831793 48.8646694878052, 2.36371783414115 48.8645059401291, 2.36352817063503 48.863862462187, 2.36424064296998 48.8633825380296, 2.36514277195482 48.863546087472, 2.36533244865771 48.8641895593055, 2.3646199831793 48.8646694878052))",24,24,100
Paris,8a1fb46644dffff,"POLYGON((2.34769742660481 48.8884018090625, 2.34679481723386 48.8882382480701, 2.34660522791128 48.8875948148679, 2.34731823474245 48.8871149487618, 2.34822082404455 48.8872785115142, 2.34841042658402 48.8879219386127, 2.34769742660481 48.8884018090625))",32,32,100
Paris,8a1fb46708dffff,"POLYGON((2.31681569248174 48.8444138564735, 2.31591354937285 48.8442497841318, 2.31572436976684 48.8436059679647, 2.31643732005404 48.8431262302442, 2.31733944312378 48.8432903043394, 2.31752863594517 48.8439341144016, 2.31681569248174 48.8444138564735))",14,14,100
Paris,8a1fb4663c97fff,"POLYGON((2.37535200173902 48.8605240527815, 2.37444998147781 48.8603605743829, 2.37426023669078 48.8597171261928, 2.37497249897586 48.8592371625117, 2.37587449918634 48.85940064268, 2.37606425716216 48.8600440847597, 2.37535200173902 48.8605240527815))",28,28,100
Paris,8a1fb462936ffff,"POLYGON((2.28244886539602 48.8582730798917, 2.28154630221955 48.858108788766, 2.28135738161961 48.8574648808259, 2.28207101095472 48.8569852701104, 2.28297355408342 48.8571495629789, 2.2831624879245 48.8577934648201, 2.28244886539602 48.8582730798917))",14,14,100
Paris,8a1fb466ed87fff,"POLYGON((2.40402495033976 48.8651075041724, 2.40312304019258 48.8649442982019, 2.40293302909194 48.8643010128758, 2.40364491496389 48.8638209396338, 2.40454680505692 48.8639841473821, 2.40473682933187 48.8646274265946, 2.40402495033976 48.8651075041724))",9,9,100
Paris,8a1fb4663c2ffff,"POLYGON((2.37919679230873 48.8648749085696, 2.37829473091998 48.8647114875522, 2.3781049386613 48.8640680810632, 2.37881719460259 48.863588101702, 2.37971923593769 48.86375152449, 2.37990904138485 48.8643949248685, 2.37919679230873 48.8648749085696))",10,10,100
Paris,8a1fb466108ffff,"POLYGON((2.40098946006558 48.8779535975473, 2.40008733882445 48.8777904371501, 2.39989731390811 48.8771472054983, 2.40060939705094 48.8766671403555, 2.40151149822944 48.8768303025288, 2.40170153632743 48.8774735280688, 2.40098946006558 48.8779535975473))",15,15,100
Paris,8a1fb464416ffff,"POLYGON((2.38052897137265 48.8462358038812, 2.37962719693457 48.8460722903333, 2.37943745159965 48.8454287912026, 2.38014946752291 48.8449488117326, 2.38105122191972 48.8451123270524, 2.38124098043421 48.8457558200703, 2.38052897137265 48.8462358038812))",16,16,100
Paris,8a1fb4664567fff,"POLYGON((2.34564890557944 48.89594842519, 2.3447461704834 48.8957848886654, 2.34455657545111 48.8951414858183, 2.34526970229319 48.8946616255982, 2.34617241731538 48.8948251638818, 2.34636202556906 48.8954685606264, 2.34564890557944 48.89594842519))",17,17,100
